country,district,site,houseNumber,collectionMethod,total,totalAnopheles,totalOtherMosquitoes,maleAnopheles,anGambiaeUF,anGambiaeF,anGambiaeG,anFunestusUF,anFunestusF,anFunestusG,anOtherUF,anOtherF,anOtherG,CulexUF,CulexF,CulexG,AedesUF,AedesF,AedesG,MansoniaUF,MansoniaF,MansoniaG,AnFunestusMale,AnFunestusFemale,AnGambiaeMale,AnGambiaeFemale,AnOtherMale,AnOtherFemale,culexMale,culexFemale,aedesMale,aedesFemale,mansoniaMale,mansoniaFemale,peopleSlept,irsSprayed,monthsAgo,totalLLIN,llinType,llinBrand,peopleSleptUnderLlin,name,date,site code,health centre,parish,village,coded house number,Latitude,Longitude,House Type,Title of Officer
Uganda,Other,11.0,214.0,Other,7,7,0,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,No,,0,Unknown,Unknown,,,2025-08-16 08:50:23+00:00,11.0,,,,,,,,student
Uganda,Other,11.0,213.0,Other,4,2,2,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,No,,0,Unknown,Unknown,,,2025-08-16 08:45:25+00:00,11.0,,,,,,,,student
Uganda,Other,11.0,212.0,CDC Light Trap (LTC),2,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,No,,0,Unknown,Unknown,,,2025-08-15 11:55:05+00:00,11.0,,,,,,,,student
Uganda,Other,11.0,211.0,CDC Light Trap (LTC),19,18,1,18,2,0,0,0,0,0,14,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,16,0,1,0,0,0,0,0,0,No,,0,Unknown,Unknown,,,2025-08-15 11:42:37+00:00,11.0,,,,,,,,cbid
Uganda,Other,11.0,206.0,CDC Light Trap (LTC),8,8,0,8,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,No,,0,Unknown,Unknown,,,2025-08-15 11:59:26+00:00,11.0,,,,,,,,student
Uganda,Other,11.0,203.0,Other,17,10,7,10,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,6,1,0,0,0,0,0,10,0,0,0,0,0,7,0,0,No,,0,Unknown,Unknown,,,2025-08-15 11:31:35+00:00,11.0,,,,,,,,student
Uganda,Other,11.0,202.0,CDC Light Trap (LTC),21,21,0,21,2,0,0,1,0,0,16,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,18,0,0,0,0,0,0,0,0,No,,0,Unknown,Unknown,,,2025-08-15 11:33:28+00:00,11.0,,,,,,,,student
Uganda,Other,11.0,201.0,CDC Light Trap (LTC),24,22,2,22,2,0,0,0,0,0,18,2,0,1,0,0,0,0,0,1,0,0,0,0,2,0,20,0,1,0,0,0,1,0,0,No,,0,Unknown,Unknown,,,2025-08-15 11:07:36+00:00,11.0,,,,,,,,mistah
Uganda,Other,11.0,200.0,CDC Light Trap (LTC),5,5,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,No,,0,Unknown,Unknown,,,2025-08-15 11:27:59+00:00,11.0,,,,,,,,cbid
Uganda,Other,11.0,199.0,CDC Light Trap (LTC),32,16,16,16,2,0,0,0,0,0,12,2,0,3,1,0,0,0,0,12,0,0,0,0,2,0,14,0,4,0,0,0,12,0,0,No,,0,Unknown,Unknown,,,2025-08-15 11:04:12+00:00,11.0,,,,,,,,student
Uganda,Other,11.0,198.0,CDC Light Trap (LTC),44,36,8,36,2,0,0,0,0,0,28,6,0,0,0,0,0,0,0,6,2,0,0,0,2,0,34,0,0,0,0,0,8,0,0,No,,0,Unknown,Unknown,,,2025-08-15 10:59:59+00:00,11.0,,,,,,,,student
Uganda,Other,11.0,197.0,CDC Light Trap (LTC),45,3,42,3,1,0,0,0,0,0,2,0,0,19,1,0,0,0,0,18,4,0,0,0,1,0,2,0,20,0,0,0,22,0,0,No,,0,Unknown,Unknown,,,2025-08-15 10:42:21+00:00,11.0,,,,,,,,student
Uganda,Other,11.0,196.0,Other,86,2,84,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,67,16,0,2,0,0,0,0,0,1,0,0,0,83,0,0,No,,0,Unknown,Unknown,,,2025-08-15 10:14:49+00:00,11.0,,,,,,,,student
Uganda,Other,11.0,195.0,Other,50,7,43,7,0,0,0,0,0,0,5,2,0,4,0,0,0,0,0,36,3,0,0,0,0,0,7,0,4,0,0,0,39,0,0,No,,0,Unknown,Unknown,,,2025-08-15 10:11:44+00:00,11.0,,,,,,,,student
Uganda,Other,11.0,194.0,Other,109,8,101,8,0,0,0,1,0,0,6,1,0,6,0,0,0,0,0,75,20,0,1,0,0,0,7,0,6,0,0,0,95,0,0,No,,0,Unknown,Unknown,,,2025-08-15 09:14:47+00:00,11.0,,,,,,,,student
Uganda,Other,11.0,193.0,CDC Light Trap (LTC),61,5,56,5,1,2,0,1,0,0,0,1,0,5,0,0,0,0,0,35,15,0,1,0,3,0,1,0,5,0,0,0,50,0,0,No,,0,Unknown,Unknown,,,2025-08-15 09:11:23+00:00,11.0,,,,,,,,mr
Uganda,Other,11.0,192.0,CDC Light Trap (LTC),52,8,44,8,0,1,0,0,0,0,7,0,0,6,0,0,0,0,0,25,13,0,0,0,1,0,7,0,6,0,0,0,38,0,0,No,,0,Unknown,Unknown,,,2025-08-15 09:11:01+00:00,11.0,,,,,,,,student
Uganda,Other,11.0,191.0,Other,10,10,0,10,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,No,,0,Unknown,Unknown,,,2025-08-14 08:45:07+00:00,11.0,,,,,,,,student
Uganda,Other,11.0,190.0,Other,27,22,5,22,9,4,0,8,1,0,0,0,0,4,0,0,0,0,0,1,0,0,9,0,13,0,0,0,4,0,0,0,1,0,0,No,,0,Unknown,Unknown,,,2025-08-14 09:00:12+00:00,11.0,,,,,,,,student
Uganda,Other,11.0,187.0,Other,97,26,71,26,0,0,0,0,0,0,23,3,0,4,0,0,0,0,0,58,8,0,0,0,0,0,26,0,4,0,0,0,66,0,0,No,,0,Unknown,Unknown,,,2025-08-15 08:23:56+00:00,11.0,,,,,,,,student
Uganda,Other,11.0,189.0,Other,7,2,5,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,2,0,1,0,1,0,0,0,1,0,0,0,4,0,0,No,,0,Unknown,Unknown,,,2025-08-14 08:53:44+00:00,11.0,,,,,,,,student
Uganda,Other,11.0,188.0,Other,16,4,12,4,0,0,0,0,0,0,4,0,0,6,3,0,0,0,0,3,0,0,0,0,0,0,4,0,9,0,0,0,3,0,0,No,,0,Unknown,Unknown,,,2025-08-14 09:46:54+00:00,11.0,,,,,,,,student
Uganda,Other,11.0,186.0,Other,19,5,14,5,0,0,0,2,1,0,2,0,0,6,0,0,0,0,0,6,2,0,3,0,0,0,2,0,6,0,0,0,8,0,0,No,,0,Unknown,Unknown,,,2025-08-15 08:42:41+00:00,11.0,,,,,,,,student
Uganda,Other,11.0,185.0,CDC Light Trap (LTC),22,4,18,4,0,1,0,0,0,0,3,0,0,8,0,0,0,0,0,8,2,0,0,0,1,0,3,0,8,0,0,0,10,0,0,No,,0,Unknown,Unknown,,,2025-08-15 08:31:22+00:00,11.0,,,,,,,,Mr
Uganda,Other,11.0,184.0,Other,33,10,23,10,0,0,0,0,0,0,9,1,0,1,0,0,0,0,0,22,0,0,0,0,0,0,10,0,1,0,0,0,22,0,0,No,,0,Unknown,Unknown,,,2025-08-15 08:27:43+00:00,11.0,,,,,,,,student
Uganda,Other,11.0,183.0,Other,22,5,17,5,2,0,0,3,0,0,0,0,0,13,0,0,0,0,0,3,1,0,3,0,2,0,0,0,13,0,0,0,4,0,0,No,,0,Unknown,Unknown,,,2025-08-15 08:26:15+00:00,11.0,,,,,,,,student
Uganda,Other,11.0,182.0,Other,13,3,10,3,0,1,0,0,0,0,1,1,0,8,1,0,0,0,0,0,1,0,0,0,1,0,2,0,9,0,0,0,1,0,0,No,,0,Unknown,Unknown,,,2025-08-14 09:56:17+00:00,11.0,,,,,,,,student
Uganda,Other,11.0,181.0,Other,33,5,28,5,0,0,0,1,0,0,3,1,0,24,2,0,0,0,0,2,0,0,1,0,0,0,4,0,26,0,0,0,2,0,0,No,,0,Unknown,Unknown,,,2025-08-14 08:49:46+00:00,11.0,,,,,,,,student
Uganda,Other,11.0,179.0,Other,10,5,5,5,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,No,,0,Unknown,Unknown,,,2025-08-14 09:45:32+00:00,11.0,,,,,,,,student
Uganda,Other,11.0,180.0,CDC Light Trap (LTC),14,12,2,12,5,3,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,8,0,2,0,2,0,0,0,0,0,0,No,,0,Unknown,Unknown,,,2025-08-13 08:48:35+00:00,11.0,,,,,,,,Mr
Uganda,Other,11.0,178.0,Other,25,11,14,11,2,0,0,3,1,0,4,1,0,11,1,0,0,0,0,1,1,0,4,0,2,0,5,0,12,0,0,0,2,0,0,No,,0,Unknown,Unknown,,,2025-08-14 09:30:25+00:00,11.0,,,,,,,,student
Uganda,Other,11.0,177.0,CDC Light Trap (LTC),7,2,5,2,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,No,,0,Unknown,Unknown,,,2025-08-14 08:40:33+00:00,11.0,,,,,,,,Mr
Uganda,Other,11.0,176.0,Other,16,10,6,10,2,1,0,1,0,0,6,0,0,2,1,0,0,0,0,1,0,0,1,0,3,0,6,0,3,0,0,0,1,0,0,No,,0,Unknown,Unknown,,,2025-08-14 08:55:34+00:00,11.0,,,,,,,,student
Uganda,Other,11.0,175.0,Other,10,10,0,10,4,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,No,,0,Unknown,Unknown,,,2025-08-14 08:47:10+00:00,11.0,,,,,,,,student
Uganda,Other,11.0,174.0,Other,2,2,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,No,,0,Unknown,Unknown,,,2025-08-14 08:40:48+00:00,11.0,,,,,,,,student
